,height,weight_F_-3,weight_F_-2,weight_F_-1,weight_F_0,weight_F_1,weight_F_2,weight_F_3,weight_M_-3,weight_M_-2,weight_M_-1,weight_M_0,weight_M_1,weight_M_2,weight_M_3
0,45.0,1.9011164274322168,2.0659536541889487,2.251893939393939,2.461038961038961,2.696969696969697,2.9669421487603307,3.275757575757576,1.8771043771043774,2.0427807486631018,2.23030303030303,2.4415584415584415,2.6792929292929295,2.9515151515151516,3.2606060606060607
1,45.767676767676775,2.002234286870119,2.176124805191947,2.3709857270800034,2.591611007772624,2.841951501547462,3.124530966227937,3.450502783162716,1.9771681013573628,2.151845009812924,2.3478343196272493,2.5696298912460533,2.8181386253103433,3.1031715378455518,3.426160731898106
2,46.535353535353536,2.102570557605114,2.2844913384188494,2.4905791472525483,2.721773236116671,2.982713946938006,3.2817975036560902,3.623736625514404,2.0781088932923066,2.2610574751275885,2.466233967055516,2.697513178927321,2.9575639673956178,3.255239125259328,3.592014117984938
3,47.30303030303031,2.2030394320665456,2.3941971907628474,2.6101537938305626,2.853027242118152,3.1275257626772786,3.442484347608315,3.7996473829201105,2.1811580987976527,2.371439889086948,2.587056830935619,2.8263769003162946,3.0986545590586,3.408153861850831,3.758842748472378
4,48.07070707070707,2.306454729825278,2.5073682357342495,2.732984344001179,2.9863751213246172,3.275581176523938,3.6016205149134444,3.979393032457006,2.2870363190452987,2.4861371088584403,2.708922400208596,2.9601978418140042,3.2455037467832084,3.5655275992245694,3.9312691448718384
5,48.83838383838385,2.4130810537095613,2.6240923795291007,2.86022877484157,3.1257066913632574,3.4277142921924075,3.770981316068552,4.164965782025266,2.3981527126662696,2.6064263150418836,2.838017379178996,3.100129724372149,3.396430636329627,3.7300281665754587,4.11074077852978
6,49.60606060606061,2.5266955573813634,2.7473451088424357,2.9932307198973875,3.272358079630808,3.5894411516450093,3.9495471890623417,4.362818487909398,2.516093595891576,2.7335846882370958,2.974850729517397,3.2483655513958554,3.5557698194061835,3.904888369461373,4.300437914498522
7,50.37373737373736,2.647684369942242,2.877511648471244,3.1352868754888945,3.4284430160187727,3.7601965167438065,4.138083052749717,4.568494673634964,2.6394220425055077,2.8665108602363496,3.119112743597591,3.4058925436703205,3.724968767359339,4.089560657075807,4.501102457421199
8,51.14141414141414,2.7746393225181096,3.016081352242968,3.288401682368012,3.5961865743683923,3.9435502252398478,4.338263895974333,4.793390334319628,2.769985677954252,3.0062265755195043,3.271648561938124,3.567420914289601,3.9019847181126637,4.282420161208038,4.710555461082959
9,51.90909090909091,2.908356970377172,3.1617187021732467,3.4472342472342468,3.7695924277742456,4.134844403632282,4.551537190082644,5.029133081658333,2.908356970377172,3.1563024181205988,3.430727476788082,3.74126109580655,4.089872833013328,4.483784400478616,4.9328435873890415
10,52.67676767676768,3.0493491060335973,3.3173570724075776,3.616408432570048,3.951995479268206,4.338086095110888,4.774872632044348,5.273895709810412,3.0546170758886144,3.312747598784438,3.600416381224461,3.9244399446419647,4.289237647364369,4.698750467639356,5.1644390028228395
11,53.444444444444436,3.1962580048854554,3.4761471505175208,3.7913590935813155,4.144397824397824,4.547171377070367,5.005688157293096,5.528931911709689,3.2106089703620566,3.4817666864725685,3.7843152512782137,4.119507323951769,4.5009461619562625,4.929159745604189,5.416578958307353
12,54.21212121212121,3.3477537106057604,3.6412678978335538,3.970087196753864,4.344440023126892,4.7651875968129405,5.246248342005918,5.794484236302418,3.3757964673472696,3.6581519742883373,3.974976703057511,4.325798780344235,4.725821514811414,5.169972043669014,5.680069788797062
